t,predict_ms,update_ms
53.373000,20.00,463.94
53.571000,20.00,483.77
53.670000,20.00,454.02
53.769000,20.00,474.57
53.970000,20.00,497.22
54.068000,20.00,525.95
54.169000,20.00,487.21
54.369000,20.00,462.12
54.565000,20.00,491.93
54.770000,20.00,480.28
54.869000,20.00,438.67
54.973000,20.00,444.05
55.070000,20.00,481.71
55.269000,20.00,421.78
55.368000,20.00,415.61
55.471000,20.00,417.88
55.670000,20.00,357.47
55.769000,20.00,369.36
55.871000,20.00,376.65
55.902000,20.00,327.47
56.068000,20.00,329.21
56.169000,20.00,360.07
56.372000,20.00,368.94
56.407000,20.00,342.76
56.570000,20.00,282.75
56.631000,20.00,272.74
56.670000,20.00,298.10
56.769000,20.00,280.96
56.868000,20.00,278.60
56.970000,20.00,277.50
57.068000,20.00,174.41
57.132000,20.00,180.49
57.178000,20.00,173.87
57.269000,20.00,158.31
57.370000,20.00,151.63
57.371000,1.00,178.90
57.406000,20.00,174.00
57.466000,20.00,191.48
57.567000,20.00,164.07
57.568000,1.00,171.99
57.672000,20.00,185.80
57.673000,1.00,178.19
57.691000,18.00,170.39
57.769000,20.00,162.03
57.831000,20.00,202.75
57.894000,20.00,220.50
57.997000,20.00,212.31
58.070000,20.00,218.65
58.170000,20.00,215.78
58.274000,20.00,200.74
58.365000,20.00,200.66
58.394000,20.00,230.72
58.468000,20.00,219.62
58.573000,20.00,194.40
58.671000,20.00,204.62
58.672000,1.00,211.60
58.769000,20.00,222.12
58.801000,20.00,201.15
58.874000,20.00,206.28
58.970000,20.00,181.12
59.071000,20.00,195.24
59.171000,20.00,209.52
59.172000,1.00,210.92
59.270000,20.00,201.82
59.368000,20.00,201.03
59.369000,1.00,213.72
59.469000,20.00,209.83
59.470000,1.00,215.33
59.569000,20.00,220.50
59.570000,1.00,212.36
59.669000,20.00,215.04
59.771000,20.00,216.18
59.772000,1.00,189.79
59.870000,20.00,204.15
59.966000,20.00,203.23
60.056000,20.00,196.09
60.114000,20.00,203.65
60.169000,20.00,181.49
60.257000,20.00,195.93
60.282000,20.00,197.33
60.365000,20.00,202.60
60.466000,20.00,196.80
60.506000,20.00,246.74
60.569000,20.00,201.46
60.668000,20.00,259.18
60.677000,9.00,196.68
60.764000,20.00,179.60
60.867000,20.00,194.12
60.868000,1.00,193.75
60.916000,20.00,224.67
60.969000,20.00,227.86
61.072000,20.00,215.02
61.073000,1.00,239.59
61.129000,20.00,253.78
61.171000,20.00,207.86
61.172000,1.00,203.20
61.266000,20.00,195.82
61.354000,20.00,187.46
61.368000,14.00,191.93
61.468000,20.00,219.50
61.549000,20.00,196.76
61.564000,15.00,189.84
61.668000,20.00,226.31
61.741000,20.00,201.82
61.768000,20.00,195.32
61.833000,20.00,193.46
61.869000,20.00,192.13
61.966000,20.00,201.13
61.967000,1.00,203.32
62.020000,20.00,188.12
62.068000,20.00,193.19
62.069000,1.00,191.03
62.168000,20.00,186.28
62.212000,20.00,187.96
62.265000,20.00,181.90
62.366000,20.00,190.85
62.410000,20.00,196.25
62.466000,20.00,197.11
62.539000,20.00,187.33
62.567000,20.00,176.20
62.665000,20.00,210.70
62.668000,3.00,200.27
62.759000,20.00,183.35
62.767000,8.00,190.34
62.870000,20.00,199.40
62.879000,9.00,181.35
62.965000,20.00,192.77
63.061000,20.00,188.80
63.132000,20.00,193.26
63.179000,20.00,205.74
63.269000,20.00,204.32
63.369000,20.00,186.75
63.412000,20.00,180.89
63.469000,20.00,209.58
63.566000,20.00,192.03
63.567000,1.00,218.80
63.643000,20.00,201.90
63.670000,20.00,189.93
63.770000,20.00,196.67
63.771000,1.00,203.62
63.866000,20.00,189.30
63.867000,1.00,197.56
63.968000,20.00,189.00
63.969000,1.00,204.25
64.068000,20.00,184.45
64.136000,20.00,193.71
64.180000,20.00,181.23
64.265000,20.00,195.58
64.365000,20.00,182.58
64.414000,20.00,189.35
64.469000,20.00,195.73
64.470000,1.00,205.34
64.567000,20.00,210.06
64.568000,1.00,202.84
64.646000,20.00,185.86
64.670000,20.00,201.58
64.769000,20.00,196.52
64.770000,1.00,194.09
64.848000,20.00,184.95
64.882000,20.00,184.86
