frame,t,n_obs,n_cands_total,ordering_ms,jcbb_ms
500,498.034000,14,0,6,0
501,498.044000,14,0,6,0
502,498.054000,14,0,9,0
503,498.064000,14,12,5,2
504,498.074000,14,12,6,1
505,498.084000,14,12,6,7
506,498.094000,14,12,8,18
507,498.104000,12,12,6,72
508,498.114000,12,12,5,156
509,498.124000,12,0,8,0
510,498.134000,12,0,12,0
511,498.144000,12,0,7,0
512,498.154000,12,0,5,0
513,498.164000,12,0,8,0
514,498.174000,12,0,5,0
515,498.184000,12,0,5,0
516,498.194000,12,0,5,0
517,498.204000,12,12,5,1
518,498.214000,12,12,5,1
519,498.224000,10,10,6,2
520,498.234000,10,10,4,21
521,498.244000,10,10,7,26
522,498.254000,10,0,10,0
523,498.264000,10,0,5,0
524,498.274000,10,10,5,1
525,498.284000,10,10,6,1
526,498.294000,10,10,5,2
527,498.304000,10,10,5,16
528,498.314000,8,8,3,10
529,498.324000,8,8,4,8
530,498.334000,8,8,6,10
531,498.344000,8,8,4,6
532,498.354000,8,8,4,9
533,498.364000,8,8,4,9
534,498.374000,8,8,4,7
535,498.384000,8,8,8,6
536,498.394000,8,8,4,7
537,498.404000,8,8,5,10
538,498.414000,8,8,4,10
539,498.424000,8,8,7,13
540,498.434000,8,8,10,8
541,498.444000,8,8,9,10
542,498.454000,8,8,4,7
543,498.464000,8,8,3,5
544,498.474000,8,8,4,6
545,498.484000,8,8,5,7
546,498.494000,8,8,4,6
547,498.504000,8,8,7,6
548,498.514000,8,8,5,4
549,498.524000,8,8,4,6
550,498.534000,8,8,5,5
551,498.544000,8,8,7,6
552,498.554000,8,8,7,7
553,498.564000,8,8,5,6
554,498.574000,8,8,5,6
555,498.584000,8,8,7,10
556,498.594000,8,8,9,7
557,498.604000,8,8,4,6
558,498.614000,8,8,4,2
559,498.624000,8,8,5,11
560,498.634000,8,8,5,7
561,498.644000,8,8,4,9
562,498.654000,8,8,5,10
563,498.664000,8,8,5,8
564,498.674000,8,8,6,10
565,498.684000,8,8,4,7
566,498.694000,8,8,8,7
567,498.704000,8,8,4,5
568,498.714000,8,8,6,1
569,498.724000,8,8,3,7
570,498.734000,8,8,4,5
