t,x,y,yaw
102.501000,34.617,-16.366,-1.07731
102.502000,34.617,-16.366,-1.07731
102.503000,34.617,-16.366,-1.07731
102.504000,34.617,-16.366,-1.07731
102.506000,34.617,-16.366,-1.07731
102.507000,34.617,-16.366,-1.07731
102.508000,34.617,-16.366,-1.07731
102.510000,34.617,-16.366,-1.07731
102.511000,34.617,-16.366,-1.07731
102.512000,34.617,-16.366,-1.07731
102.514000,34.617,-16.366,-1.07731
102.515000,34.617,-16.366,-1.07731
102.516000,34.617,-16.366,-1.07731
102.517000,34.617,-16.366,-1.07731
102.518000,34.617,-16.366,-1.07731
102.519000,34.617,-16.366,-1.07731
102.520000,34.617,-16.366,-1.07731
102.521000,34.617,-16.366,-1.07731
102.522000,34.617,-16.366,-1.07731
102.523000,34.617,-16.366,-1.07731
102.524000,34.617,-16.366,-1.07731
102.525000,34.617,-16.366,-1.07731
102.526000,34.617,-16.366,-1.07731
102.527000,34.617,-16.366,-1.07731
102.528000,34.617,-16.366,-1.07731
102.529000,34.617,-16.366,-1.07731
102.530000,34.617,-16.366,-1.07731
102.531000,34.617,-16.366,-1.07731
102.532000,34.617,-16.366,-1.07731
102.534000,34.617,-16.366,-1.07731
102.535000,34.617,-16.366,-1.07731
102.536000,34.617,-16.366,-1.07731
102.537000,34.617,-16.366,-1.07731
102.538000,34.617,-16.366,-1.07731
102.539000,34.617,-16.366,-1.07731
102.540000,34.617,-16.366,-1.07731
102.541000,34.617,-16.366,-1.07731
102.542000,34.617,-16.366,-1.07731
102.543000,34.617,-16.366,-1.07731
102.544000,34.617,-16.366,-1.07731
102.545000,34.617,-16.366,-1.07731
102.546000,34.617,-16.366,-1.07731
102.547000,34.617,-16.366,-1.07731
102.548000,34.617,-16.366,-1.07731
102.549000,34.617,-16.366,-1.07731
102.550000,34.617,-16.366,-1.07731
102.551000,34.617,-16.366,-1.07731
102.552000,34.617,-16.366,-1.07731
102.553000,34.617,-16.366,-1.07731
102.554000,34.617,-16.366,-1.07731
102.555000,34.617,-16.366,-1.07731
102.556000,34.617,-16.366,-1.07731
102.558000,34.617,-16.366,-1.07731
102.559000,34.617,-16.366,-1.07731
102.560000,34.617,-16.366,-1.07731
102.561000,34.617,-16.366,-1.07731
102.562000,34.617,-16.366,-1.07731
102.564000,34.617,-16.366,-1.07731
102.565000,34.617,-16.366,-1.07731
102.566000,34.617,-16.366,-1.07731
102.567000,34.617,-16.366,-1.07731
102.568000,34.617,-16.366,-1.07731
102.569000,34.617,-16.366,-1.07731
102.570000,34.617,-16.366,-1.07731
