t,matches,dropped,mean_mahal,p95_mahal,match_frac,N
96.739000,0,0,0.000,0.000,0.00,300
96.740000,0,0,0.000,0.000,0.00,300
96.741000,0,0,0.000,0.000,0.00,300
96.742000,0,0,0.000,0.000,0.00,300
96.743000,0,0,0.000,0.000,0.00,300
96.744000,0,0,0.000,0.000,0.00,300
96.746000,0,0,0.000,0.000,0.00,300
96.747000,0,0,0.000,0.000,0.00,300
96.748000,0,0,0.000,0.000,0.00,300
96.749000,0,0,0.000,0.000,0.00,300
96.750000,0,0,0.000,0.000,0.00,300
96.751000,0,0,0.000,0.000,0.00,300
96.752000,0,0,0.000,0.000,0.00,300
96.754000,0,0,0.000,0.000,0.00,300
96.755000,0,0,0.000,0.000,0.00,300
96.756000,0,0,0.000,0.000,0.00,300
96.757000,0,0,0.000,0.000,0.00,300
96.758000,0,0,0.000,0.000,0.00,300
96.759000,0,0,0.000,0.000,0.00,300
96.760000,0,0,0.000,0.000,0.00,300
96.761000,0,0,0.000,0.000,0.00,300
96.762000,0,0,0.000,0.000,0.00,300
96.763000,0,0,0.000,0.000,0.00,300
96.764000,0,0,0.000,0.000,0.00,300
96.766000,0,0,0.000,0.000,0.00,300
96.767000,0,0,0.000,0.000,0.00,300
96.768000,0,0,0.000,0.000,0.00,300
96.769000,0,0,0.000,0.000,0.00,300
96.770000,0,0,0.000,0.000,0.00,300
96.771000,0,0,0.000,0.000,0.00,300
96.773000,0,0,0.000,0.000,0.00,300
96.774000,0,0,0.000,0.000,0.00,300
96.775000,0,0,0.000,0.000,0.00,300
96.776000,0,0,0.000,0.000,0.00,300
96.777000,0,0,0.000,0.000,0.00,300
96.778000,0,0,0.000,0.000,0.00,300
96.779000,0,0,0.000,0.000,0.00,300
96.780000,0,0,0.000,0.000,0.00,300
96.781000,0,0,0.000,0.000,0.00,300
96.782000,0,0,0.000,0.000,0.00,300
96.783000,0,0,0.000,0.000,0.00,300
96.784000,0,0,0.000,0.000,0.00,300
96.785000,0,0,0.000,0.000,0.00,300
96.786000,0,0,0.000,0.000,0.00,300
96.787000,0,0,0.000,0.000,0.00,300
96.788000,0,0,0.000,0.000,0.00,300
96.789000,0,0,0.000,0.000,0.00,300
96.790000,0,0,0.000,0.000,0.00,300
96.791000,0,0,0.000,0.000,0.00,300
96.792000,0,0,0.000,0.000,0.00,300
96.793000,0,0,0.000,0.000,0.00,300
96.794000,0,0,0.000,0.000,0.00,300
96.795000,0,0,0.000,0.000,0.00,300
96.796000,0,0,0.000,0.000,0.00,300
96.797000,0,0,0.000,0.000,0.00,300
96.798000,0,0,0.000,0.000,0.00,300
96.799000,0,0,0.000,0.000,0.00,300
96.800000,0,0,0.000,0.000,0.00,300
96.801000,0,0,0.000,0.000,0.00,300
96.802000,0,0,0.000,0.000,0.00,300
96.804000,0,0,0.000,0.000,0.00,300
96.805000,0,0,0.000,0.000,0.00,300
96.806000,0,0,0.000,0.000,0.00,300
96.807000,0,0,0.000,0.000,0.00,300
96.808000,0,0,0.000,0.000,0.00,300
96.809000,0,0,0.000,0.000,0.00,300
96.810000,0,0,0.000,0.000,0.00,300
96.811000,0,0,0.000,0.000,0.00,300
96.813000,0,0,0.000,0.000,0.00,300
96.814000,0,0,0.000,0.000,0.00,300
96.815000,0,0,0.000,0.000,0.00,300
96.816000,0,0,0.000,0.000,0.00,300
96.817000,0,0,0.000,0.000,0.00,300
96.818000,0,0,0.000,0.000,0.00,300
96.819000,0,0,0.000,0.000,0.00,300
96.820000,0,0,0.000,0.000,0.00,300
96.821000,0,0,0.000,0.000,0.00,300
96.822000,0,0,0.000,0.000,0.00,300
96.823000,0,0,0.000,0.000,0.00,300
96.824000,0,0,0.000,0.000,0.00,300
96.825000,0,0,0.000,0.000,0.00,300
96.826000,0,0,0.000,0.000,0.00,300
96.827000,0,0,0.000,0.000,0.00,300
96.828000,0,0,0.000,0.000,0.00,300
96.829000,0,0,0.000,0.000,0.00,300
96.830000,0,0,0.000,0.000,0.00,300
96.831000,0,0,0.000,0.000,0.00,300
96.832000,0,0,0.000,0.000,0.00,300
96.833000,0,0,0.000,0.000,0.00,300
